name,iso_country,municipality,icao_code,iata_code,coordinates
Abu Dhabi International Airport,AE,Abu Dhabi,OMAA,AUH,"54.651100158691406, 24.433000564575195"
Al Ain International Airport,AE,Al Ain,OMAL,AAN,"55.60919952392578, 24.261699676513672"
Al Maktoum International Airport,AE,Jebel Ali,OMDW,DWC,"55.161389, 24.896356"
Al Minhad Air Base,AE,Dubai,OMDM,NHD,"55.3661994934, 25.0268001556"
Dubai International Airport,AE,Dubai,OMDB,DXB,"55.3643989563, 25.2527999878"
Ras Al Khaimah International Airport,AE,Ras Al Khaimah,OMRK,RKT,"55.93880081176758, 25.613500595092773"
Sharjah International Airport,AE,Sharjah,OMSJ,SHJ,"55.5172004699707, 25.32859992980957"
Bagram Air Base,AF,Bagram,OAIX,OAI,"69.26499938959999, 34.9460983276"
Hamid Karzai International Airport,AF,Kabul,OAKB,KBL,"69.212303, 34.565899"
V.C. Bird International Airport,AG,St. John's,TAPA,ANU,"-61.792702, 17.1367"
Clayton J Lloyd International Airport,AI,The Valley,TQPF,AXA,"-63.055099, 18.2048"
Tirana International Airport Mother Teresa,AL,Tirana,LATI,TIA,"19.7206001282, 41.4146995544"
Gyumri Shirak Airport,AM,Gyumri,UDSG,LWN,"43.859298706100006, 40.7504005432"
Zvartnots International Airport,AM,Yerevan,UDYZ,EVN,"44.3959007263, 40.1473007202"
Benguela Airport,AO,Benguela,FNBG,BUG,"13.4036998749, -12.609000206"
Cabinda Airport,AO,Cabinda,FNCA,CAB,"12.188400268554688, -5.59699010848999"
Catumbela Airport,AO,Catumbela,FNCT,CBT,"13.4869, -12.4792"
Dundo Airport,AO,Chitato,FNDU,DUE,"20.818500518798828, -7.400889873504639"
Kuito Airport,AO,Kuito,FNKU,SVP,"16.947399139404, -12.404600143433"
Lubango Airport,AO,Lubango,FNUB,SDD,"13.574999809265137, -14.924699783325195"
Luena Airport,AO,Luena,FNUE,LUO,"19.8976993560791, -11.768099784851074"
Malanje Airport,AO,Malanje,FNMA,MEG,"16.312400817871094, -9.525090217590332"
Mbanza Congo Airport,AO,Mbanza Congo,FNBC,SSY,"14.246999740600586, -6.269899845123291"
Menongue Airport,AO,Menongue,FNME,SPP,"17.71980094909668, -14.657600402832031"
Namibe Airport,AO,Namibe,FNMO,MSZ,"12.14680004119873, -15.261199951171875"
Negage Airport,AO,Negage,FNNG,GXG,"15.287699699401855, -7.754509925842285"
Ngjiva Pereira Airport,AO,Ngiva,FNGI,VPE,"15.683799743700002, -17.0435009003"
Nova Lisboa Airport,AO,Huambo,FNHU,NOV,"15.760499954223633, -12.808899879455566"
Porto Amboim Airport,AO,Port Amboim,FNPA,PBN,"13.76550006866455, -10.722000122070312"
Quatro de Fevereiro Airport,AO,Luanda,FNLU,LAD,"13.2312, -8.85837"
Saurimo Airport,AO,Saurimo,FNSA,VHC,"20.431900024414062, -9.689069747924805"
Soyo Airport,AO,Soyo,FNSO,SZA,"12.371800422668457, -6.141089916229248"
Sumbe Airport,AO,Sumbe,FNSU,NDD,"13.84749984741211, -11.167900085449219"
Uige Airport,AO,Uige,FNUG,UGO,"15.027799606323242, -7.60306978225708"
Xangongo Airport,AO,Xangongo,FNXA,XGN,"14.965299606323242, -16.755399703979492"
Almirante Marco Andres Zar Airport,AR,Rawson,SAVT,REL,"-65.2703, -43.2105"
Area De Material Airport,AR,Rio Cuarto,SAOC,RCU,"-64.2612991333, -33.0850982666"
Aviador C. Campos Airport,AR,Chapelco/San Martin de los Andes,SAZY,CPC,"-71.137299, -40.075401"
Brigadier Antonio Parodi Airport,AR,Esquel,SAVE,EQS,"-71.139503479, -42.908000946"
Brigadier Mayor D Cesar Raul Ojeda Airport,AR,San Luis,SAOU,LUQ,"-66.3563995361, -33.2732009888"
Capitan D Daniel Vazquez Airport,AR,San Julian,SAWJ,ULA,"-67.8026, -49.3068"
Capitan V A Almonacid Airport,AR,La Rioja,SANL,IRJ,"-66.7957992554, -29.3815994263"
Catamarca Airport,AR,Catamarca,SANC,CTC,"-65.751701355, -28.5956001282"
Cataratas Del Iguaz���� International Airport,AR,Puerto Iguazu,SARI,IGR,"-54.4734, -25.737301"
Comandante Espora Airport,AR,Bahia Blanca,SAZB,BHI,"-62.1693, -38.725"
Comodoro D.R. Salom����n Airport,AR,Malargue,SAMM,LGS,"-69.5743026733, -35.493598938"
Comodoro Pedro Zanni Airport,AR,Pehuaj����,SAZP,PEH,"-61.8576, -35.8446"
Comodoro Pierrestegui Airport,AR,Concordia,SAAC,COC,"-57.9966, -31.2969"
Corrientes Airport,AR,Corrientes,SARC,CNQ,"-58.7619, -27.4455"
Curuzu Cuatia Airport,AR,Curuzu Cuatia,SATU,UZU,"-57.9789, -29.7706"
Cutral-Co Airport,AR,Cutral-Co,SAZW,CUT,"-69.2646026611, -38.939701080300004"
Domingo Faustino Sarmiento Airport,AR,San Juan,SANU,UAQ,"-68.418198, -31.571501"
El Bolson Airport,AR,El Bolson,SAVB,EHL,"-71.5323028564, -41.9431991577"
